"","Protein","gene_id","description","gene_name","fc","p.value","adj.p.value"
"HOMER2","HOMER2","ENSG00000103942.12","homer scaffolding protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]","HOMER2",-0.418565237183565,0.000907946457841369,0.0242469704947913
"PSRC1","PSRC1","ENSG00000134222.16","proline and serine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:24472]","PSRC1",-0.420169362653184,0.00486403814378972,0.0454718240690431
"GALC","GALC","ENSG00000054983.16","galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]","GALC",-0.420285997184048,0.00288285349692273,0.0361726016588108
"FAR2","FAR2","ENSG00000064763.10","fatty acyl-CoA reductase 2 [Source:HGNC Symbol;Acc:HGNC:25531]","FAR2",-0.421415105400194,0.00413116626685733,0.0420782708418045
"DYNC2H1","DYNC2H1","ENSG00000187240.13","dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]","DYNC2H1",-0.421802831298817,0.000177981022900423,0.0124827195914276
"VPS13C","VPS13C","ENSG00000129003.15","vacuolar protein sorting 13 homolog C [Source:HGNC Symbol;Acc:HGNC:23594]","VPS13C",-0.429136163389691,0.00551903769998224,0.0480793189474139
"ANXA4","ANXA4","ENSG00000196975.15","annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]","ANXA4",-0.43036840362026,0.000786322949641863,0.0231044483047185
"SMYD3","SMYD3","ENSG00000185420.18","SET and MYND domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15513]","SMYD3",-0.432074881981304,0.000146861616270921,0.0123628143638309
"AAMDC","AAMDC","ENSG00000087884.14","adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205]","AAMDC",-0.434612109943509,1.8726887915299e-05,0.00528633293151869
"SUMF1","SUMF1","ENSG00000144455.13","sulfatase modifying factor 1 [Source:HGNC Symbol;Acc:HGNC:20376]","SUMF1",-0.435498491133166,0.000182920504022366,0.0124827195914276
"LO000005.1","LO000005.1","ENSG00000283756.1",NA,"LO000005.1",-0.437058214751318,0.00345852162287583,0.0391075177499435
"DEPDC1B","DEPDC1B","ENSG00000035499.12","DEP domain containing 1B [Source:HGNC Symbol;Acc:HGNC:24902]","DEPDC1B",-0.438187917972828,0.00453375158719531,0.043915162432833
"DHFR","DHFR","ENSG00000228716.6","dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]","DHFR",-0.440411858474066,0.00315026721618984,0.0375561268126162
"CLIC6","CLIC6","ENSG00000159212.12","chloride intracellular channel 6 [Source:HGNC Symbol;Acc:HGNC:2065]","CLIC6",-0.441965673146347,0.000415681552495869,0.0166534740211677
"TRPV4","TRPV4","ENSG00000111199.10","transient receptor potential cation channel subfamily V member 4 [Source:HGNC Symbol;Acc:HGNC:18083]","TRPV4",-0.442500136656827,0.000202929893924478,0.0126931342340496
"CEP55","CEP55","ENSG00000138180.15","centrosomal protein 55 [Source:HGNC Symbol;Acc:HGNC:1161]","CEP55",-0.443310606812052,0.00120396516516862,0.0272331939411807
"MAPT","MAPT","ENSG00000186868.15","microtubule associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]","MAPT",-0.452784554827049,0.00109943723233362,0.0264132276120515
"SYNE2","SYNE2","ENSG00000054654.16","spectrin repeat containing nuclear envelope protein 2 [Source:HGNC Symbol;Acc:HGNC:17084]","SYNE2",-0.453959005806054,0.000312590987807431,0.0157370647619741
"USH1C","USH1C","ENSG00000006611.15","USH1 protein network component harmonin [Source:HGNC Symbol;Acc:HGNC:12597]","USH1C",-0.45528085114499,9.19682087970664e-05,0.0100960655879446
"GSN","GSN","ENSG00000148180.19","gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]","GSN",-0.45534716017327,0.0029732343925043,0.0367256006483938
"CPD","CPD","ENSG00000108582.11","carboxypeptidase D [Source:HGNC Symbol;Acc:HGNC:2301]","CPD",-0.456929568750179,0.00452545009513127,0.0438885368735184
"MAPRE2","MAPRE2","ENSG00000166974.12","microtubule associated protein RP/EB family member 2 [Source:HGNC Symbol;Acc:HGNC:6891]","MAPRE2",-0.457989004803171,0.00262789789356517,0.0349422810630667
"CMIP","CMIP","ENSG00000153815.16","c-Maf inducing protein [Source:HGNC Symbol;Acc:HGNC:24319]","CMIP",-0.461733857747873,0.000440523314070775,0.0167582622574763
"NDRG2","NDRG2","ENSG00000165795.23","NDRG family member 2 [Source:HGNC Symbol;Acc:HGNC:14460]","NDRG2",-0.461989636097892,0.00115407035091576,0.0270015735647166
"MYO1D","MYO1D","ENSG00000176658.16","myosin ID [Source:HGNC Symbol;Acc:HGNC:7598]","MYO1D",-0.466906378835986,0.00128000039283063,0.0276156865358807
"ATP2B4","ATP2B4","ENSG00000058668.14","ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]","ATP2B4",-0.46765171944538,0.00497193800125359,0.0457929774511056
"PDK3","PDK3","ENSG00000067992.12","pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]","PDK3",-0.469760815305573,0.00151603064203339,0.0290842383364851
"SMAD5","SMAD5","ENSG00000113658.16","SMAD family member 5 [Source:HGNC Symbol;Acc:HGNC:6771]","SMAD5",-0.471912201269403,0.00415196411340535,0.0422238818768579
"ENDOG","ENDOG","ENSG00000167136.6","endonuclease G [Source:HGNC Symbol;Acc:HGNC:3346]","ENDOG",-0.477400051424067,0.00492426001714576,0.0456823370604696
"ASB9","ASB9","ENSG00000102048.15","ankyrin repeat and SOCS box containing 9 [Source:HGNC Symbol;Acc:HGNC:17184]","ASB9",-0.48108482198111,0.00216763694297961,0.032762530384123
"MAP2K6","MAP2K6","ENSG00000108984.13","mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]","MAP2K6",-0.485905783833021,0.00593364710203782,0.0497111137790062
"HNMT","HNMT","ENSG00000150540.13","histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]","HNMT",-0.489123940158208,0.00287134672155253,0.0361726016588108
"MYRIP","MYRIP","ENSG00000170011.13","myosin VIIA and Rab interacting protein [Source:HGNC Symbol;Acc:HGNC:19156]","MYRIP",-0.491630191947102,0.00082785607847593,0.02366299077663
"MUC5AC","MUC5AC","ENSG00000215182.8","mucin 5AC, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7515]","MUC5AC",-0.495597363424918,0.0011721703180768,0.0270015735647166
"C2orf76","C2orf76","ENSG00000186132.14","chromosome 2 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:27017]","C2orf76",-0.495623323668697,0.00369755606658401,0.040422521646307
"BDH2","BDH2","ENSG00000164039.14","3-hydroxybutyrate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:32389]","BDH2",-0.500773135826565,2.48736953747881e-05,0.00582365397236838
"SLC39A10","SLC39A10","ENSG00000196950.13","solute carrier family 39 member 10 [Source:HGNC Symbol;Acc:HGNC:20861]","SLC39A10",-0.507375029156947,0.000377781901444924,0.0163633545158355
"FAM102B","FAM102B","ENSG00000162636.15","family with sequence similarity 102 member B [Source:HGNC Symbol;Acc:HGNC:27637]","FAM102B",-0.513497274159526,0.00217228374830069,0.032762530384123
"VGLL4","VGLL4","ENSG00000144560.14","vestigial like family member 4 [Source:HGNC Symbol;Acc:HGNC:28966]","VGLL4",-0.52124475260393,0.00347894678969326,0.0392262416914915
"ACAD10","ACAD10","ENSG00000111271.14","acyl-CoA dehydrogenase family member 10 [Source:HGNC Symbol;Acc:HGNC:21597]","ACAD10",-0.545442086793453,0.0046119457060291,0.0442388503178604
"GNS","GNS","ENSG00000135677.10","glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]","GNS",-0.551935974387629,3.70347563122592e-05,0.00731806784730241
"CDC25C","CDC25C","ENSG00000158402.18","cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]","CDC25C",-0.552193412055303,0.000542804619376429,0.01879561288619
"ARNT","ARNT","ENSG00000143437.20","aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]","ARNT",-0.553571624971345,0.00279323322067329,0.0360158489008184
"SEC14L1","SEC14L1","ENSG00000129657.14","SEC14 like lipid binding 1 [Source:HGNC Symbol;Acc:HGNC:10698]","SEC14L1",-0.554287072234709,0.00130341286863006,0.0276268241842198
"DPYSL2","DPYSL2","ENSG00000092964.17","dihydropyrimidinase like 2 [Source:HGNC Symbol;Acc:HGNC:3014]","DPYSL2",-0.555683667344398,2.51119353033047e-06,0.00243787089171092
"PDCD4","PDCD4","ENSG00000150593.17","programmed cell death 4 [Source:HGNC Symbol;Acc:HGNC:8763]","PDCD4",-0.556994099825729,0.00127963965371186,0.0276156865358807
"MGAM2","MGAM2","ENSG00000278563.2","maltase-glucoamylase 2 (putative) [Source:HGNC Symbol;Acc:HGNC:28101]","MGAM2",-0.557924789868116,0.000144766752459836,0.0123628143638309
"PNMA2","PNMA2","ENSG00000240694.8","PNMA family member 2 [Source:HGNC Symbol;Acc:HGNC:9159]","PNMA2",-0.560425711632029,0.00166390741162575,0.0299630841104687
"SH3YL1","SH3YL1","ENSG00000035115.21","SH3 and SYLF domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29546]","SH3YL1",-0.574230454359012,0.00320488889255488,0.0378396669682339
"APPL2","APPL2","ENSG00000136044.11","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]","APPL2",-0.574590239770786,0.000392419084110416,0.0163844618691239
"PLCB4","PLCB4","ENSG00000101333.16","phospholipase C beta 4 [Source:HGNC Symbol;Acc:HGNC:9059]","PLCB4",-0.576146655384346,0.000125103459561301,0.0117716398139587
"SGK2","SGK2","ENSG00000101049.14","SGK2, serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:13900]","SGK2",-0.576610019196662,0.00260103370322873,0.0349146825053385
"IQGAP2","IQGAP2","ENSG00000145703.15","IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]","IQGAP2",-0.58768455192489,0.00131633115484438,0.0276268241842198
"PDK1","PDK1","ENSG00000152256.13","pyruvate dehydrogenase kinase 1 [Source:HGNC Symbol;Acc:HGNC:8809]","PDK1",-0.589883106336075,0.000434072602834919,0.0167582622574763
"ARSK","ARSK","ENSG00000164291.16","arylsulfatase family member K [Source:HGNC Symbol;Acc:HGNC:25239]","ARSK",-0.59215511815708,0.000156579926818889,0.0124827195914276
"MLPH","MLPH","ENSG00000115648.13","melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]","MLPH",-0.5932303067485,0.000510006523728188,0.0183578328627906
"ACO1","ACO1","ENSG00000122729.18","aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]","ACO1",-0.593283105920976,0.000306835402900527,0.0156466259646824
"CAPS","CAPS","ENSG00000105519.15","calcyphosine [Source:HGNC Symbol;Acc:HGNC:1487]","CAPS",-0.597488209185164,0.000501780754634225,0.0182141375718728
"CYP27A1","CYP27A1","ENSG00000135929.8","cytochrome P450 family 27 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2605]","CYP27A1",-0.598293608958769,0.00411565953828146,0.0420286472746469
"TPPP3","TPPP3","ENSG00000159713.10","tubulin polymerization promoting protein family member 3 [Source:HGNC Symbol;Acc:HGNC:24162]","TPPP3",-0.598469522400328,0.000177817197969961,0.0124827195914276
"UMAD1","UMAD1","ENSG00000219545.11","UBAP1-MVB12-associated (UMA) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:48955]","UMAD1",-0.614639532081193,0.00196327339284865,0.0313489149435873
"SLC12A2","SLC12A2","ENSG00000064651.13","solute carrier family 12 member 2 [Source:HGNC Symbol;Acc:HGNC:10911]","SLC12A2",-0.619955102018542,0.000853073276213826,0.024093464924464
"RRM1","RRM1","ENSG00000167325.14","ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]","RRM1",-0.637920507541812,0.0039984255836602,0.0416933454000663
"ANKS4B","ANKS4B","ENSG00000175311.6","ankyrin repeat and sterile alpha motif domain containing 4B [Source:HGNC Symbol;Acc:HGNC:26795]","ANKS4B",-0.642288667075496,0.00360552220069073,0.0398017422824854
"PHPT1","PHPT1","ENSG00000054148.17","phosphohistidine phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:30033]","PHPT1",-0.64849418838821,0.000247451489259435,0.0139704040793327
"ACE2","ACE2","ENSG00000130234.10","angiotensin I converting enzyme 2 [Source:HGNC Symbol;Acc:HGNC:13557]","ACE2",-0.651382231735329,0.00015015564004653,0.0123628143638309
"NT5DC2","NT5DC2","ENSG00000168268.10","5'-nucleotidase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25717]","NT5DC2",-0.651599946162129,0.000179350236928825,0.0124827195914276
"ALDH1L1","ALDH1L1","ENSG00000144908.13","aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]","ALDH1L1",-0.652052800025507,0.000136398926513579,0.0123240278709995
"NOSTRIN","NOSTRIN","ENSG00000163072.15","nitric oxide synthase trafficking [Source:HGNC Symbol;Acc:HGNC:20203]","NOSTRIN",-0.664638607251303,0.00391776575858157,0.0413984232029796
"ALDOB","ALDOB","ENSG00000136872.17","aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]","ALDOB",-0.674712994316179,0.00201392057869412,0.0318998562204375
"VAV3","VAV3","ENSG00000134215.15","vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]","VAV3",-0.698577534536298,0.000530308108355555,0.0187123003948317
"C11orf54","C11orf54","ENSG00000182919.14","chromosome 11 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:30204]","C11orf54",-0.716400949613779,0.00464264757961204,0.0443045917964847
"RBM3","RBM3","ENSG00000102317.17","RNA binding motif protein 3 [Source:HGNC Symbol;Acc:HGNC:9900]","RBM3",-0.730717435626275,0.00116762747923865,0.0270015735647166
"MME","MME","ENSG00000196549.10","membrane metalloendopeptidase [Source:HGNC Symbol;Acc:HGNC:7154]","MME",-0.747826747706789,0.00149815580678711,0.0289662511633151
"ANPEP","ANPEP","ENSG00000166825.13","alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]","ANPEP",-0.748968440291356,8.43824190459558e-05,0.0098586331643259
"AKR1B10","AKR1B10","ENSG00000198074.9","aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]","AKR1B10",-0.758092276883857,1.55777138395631e-05,0.00488233004833509
"VCAN","VCAN","ENSG00000038427.15","versican [Source:HGNC Symbol;Acc:HGNC:2464]","VCAN",-0.811674909748472,0.000133218403071488,0.0123240278709995
"PRR15L","PRR15L","ENSG00000167183.2","proline rich 15 like [Source:HGNC Symbol;Acc:HGNC:28149]","PRR15L",-0.834938258286935,0.0021363547660653,0.032535160059692
"GM2A","GM2A","ENSG00000196743.8","GM2 ganglioside activator [Source:HGNC Symbol;Acc:HGNC:4367]","GM2A",-0.835480358426588,0.00504248139579085,0.0459163226845252
"TMBIM6","TMBIM6","ENSG00000139644.12","transmembrane BAX inhibitor motif containing 6 [Source:HGNC Symbol;Acc:HGNC:11723]","TMBIM6",-0.85352882789238,0.000203966076066549,0.0126931342340496
"TMA7","TMA7","ENSG00000232112.3","translation machinery associated 7 homolog [Source:HGNC Symbol;Acc:HGNC:26932]","TMA7",-0.856813737597831,0.00125999166786618,0.0276156865358807
"CRYM","CRYM","ENSG00000103316.10","crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]","CRYM",-0.899384833427852,4.20268252313834e-06,0.0025298765049419
"NEB","NEB","ENSG00000183091.19","nebulin [Source:HGNC Symbol;Acc:HGNC:7720]","NEB",-0.93039850892875,0.000515742993430956,0.0184453964709424
"GPNMB","GPNMB","ENSG00000136235.15","glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]","GPNMB",-1.00886494656471,3.70122098943965e-06,0.00243787089171092
"METTL7A","METTL7A","ENSG00000185432.11","methyltransferase like 7A [Source:HGNC Symbol;Acc:HGNC:24550]","METTL7A",-1.01981532550941,0.000331581211672886,0.0160779987182647
"PAH","PAH","ENSG00000171759.9","phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]","PAH",-1.0410281624698,0.00168317251770092,0.0299630841104687
"ANXA13","ANXA13","ENSG00000104537.16","annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]","ANXA13",-1.07741125737301,0.00018350223253681,0.0124827195914276
